flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2026-02-17,14,48
Chocolate,Made with cocoa powder and Callebaut chocolate.,2026-02-17,14,48
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2026-02-17,14,48
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2026-02-17,14,48
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk.,2026-02-17,14,48
White Chocolate Yuzu,Made with single-origin Ecuadorian white chocolate and super tart yuzu purée.,2026-02-17,14,48
Blackout Chocolate Stracciatella,A dark chocolate ice cream base with homemade magic shell swirled in.,2026-02-17,14,48
Raspberry Truffle,Vanilla ice cream with chocolate-raspberry truffles and raspberry swirl.,2026-02-17,14,48
Moroccan Rose,"Probably the most interesting ice cream we’ve made; the recipe is from Old Lyme Ice Cream in Connecticut! A base of rosewater, cardamom, cinnamon, and pomegranate, with pieces of dates, figs, apricots, and pistachios mixed in.",2026-02-17,14,48
Vegan Strawberry Chocolate Swirl (Vegan),Our vegan strawberry ice cream swirled with our vegan chocolate ice cream.,2026-02-17,14,48
Raspberry Rosewater Sorbet (Vegan),Made with raspberries. And rosewater.,2026-02-17,14,48
Vegan Salted Caramel (Vegan),"The vegan counterpart to our wildly popular Salted Butter Caramel. We caramelize sugar, skipping the butter and cream, and add it to a coconut milk and pea protein base. The coconut is noticeable but not dominant and blends deliciously with the caramel flavor.",2026-02-17,14,48
