flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2022-10-05,14,52
Chocolate,Made with cocoa powder and Callebaut chocolate.,2022-10-05,14,52
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2022-10-05,14,52
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2022-10-05,14,52
Vietnamese Coffee,"Why “Vietnamese”? We use espresso beans (from Bean Traders) and sweetened condensed milk, just like you’d get in a Vietnamese restaurant (or a Thai restaurant, or Guglhupf)",2022-10-05,14,52
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2022-10-05,14,52
Pumpkin,"It’s decorative gourd season, y’all",2022-10-05,14,52
London Fog,Earl grey tea and oil of bergamot are steeped in cream for an ice cream reminiscent of that well-known coffeehouse beverage.,2022-10-05,14,52
Dulce de Leche,"Delicious Argentine milk caramel, with a hint of vanilla.",2022-10-05,14,52
Malted Cinnamon,Two flavors that work wonderfully together. Tastes like a cinnamon bun.,2022-10-05,14,52
Bourbon Butter Pecan,"First, we make a sauce with butter, cream, brown sugar, vanilla, and of course, bourbon. Then we add that to our ice cream base, along with toasted pecan pieces.",2022-10-05,14,52
Vegan Ginger-ginger (Vegan),Coconut-ginger base with pieces of candied ginger mixed in.,2022-10-05,14,52
Meyer Lemon Sorbet (Vegan),"SUPER tart. Made with lots of Meyer lemon juice, obviously.",2022-10-05,14,52
Vegan Chocolate (Vegan),Both semi-sweet and dark chocolate are melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet.,2022-10-05,14,52
