flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2022-08-21,20,27
Chocolate,Made with cocoa powder and Callebaut chocolate.,2022-08-21,20,27
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2022-08-21,20,27
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2022-08-21,20,27
Vietnamese Coffee,"Why “Vietnamese”? We use espresso beans (from Bean Traders) and sweetened condensed milk, just like you’d get in a Vietnamese restaurant (or a Thai restaurant, or Guglhupf)",2022-08-21,20,27
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2022-08-21,20,27
Toffee Malt,Malty vanilla ice cream with pieces of Heath chocolate toffee mixed in.,2022-08-21,20,27
Cantaloupe,Cantaloupe!,2022-08-21,20,27
Mango Gochujang,"Made with mangos and gochujang, a sweet/spicy chili paste",2022-08-21,20,27
Fig honey,NA,2022-08-21,20,27
Cherry Sorbet (Vegan),Made from Morello cherries,2022-08-21,20,27
Chai Oreo (Vegan),Our vegan coconut base with chai spice and Oreo pieces,2022-08-21,20,27
Vegan Chocolate (Vegan),Both semi-sweet and dark chocolate are melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet.,2022-08-21,20,27
Toasted Coconut (Vegan),Toasted coconut flakes mixed into a coconut-milk base.,2022-08-21,20,27
