flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-10-10,14,16
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-10-10,14,16
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2023-10-10,14,16
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-10-10,14,16
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2023-10-10,14,16
Honey Lavender,"Lavender flower water, wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence… or maybe that’s just us.",2023-10-10,14,16
Apple Honey Cake,"First, we make our own apple pie filling with fresh NC apples. Then we mix that into our ice cream base, along with chunks of homemade honey cake.",2023-10-10,14,16
London Fog,Rishi London Fog is combined with NC dairy and Madagascar vanilla extract for an ice cream reminiscent of that well-known coffeehouse beverage.,2023-10-10,14,16
Pumpkin Cheesecake,Pumpkin ice cream with pieces of cheesecake mixed in.,2023-10-10,14,16
Butter Pecan,"A classic, here by popular demand.",2023-10-10,14,16
Milk Chocolate with Black Pepper,Fresh-ground black pepper adds a spicy kick and almost floral flavor to this ice cream made with Callebaut milk chocolate.,2023-10-10,14,16
Vegan Chocolate (Vegan),Both semi-sweet and dark chocolate are melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet.,2023-10-10,14,16
Apple cider sorbet (Vegan),Made with apple cider and fresh apple purée.,2023-10-10,14,16
