flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-05-24,14,16
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-05-24,14,16
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-05-24,14,16
Honey Lavender,"Lavender flower water, wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence… or maybe that’s just us.",2024-05-24,14,16
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-05-24,14,16
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-05-24,14,16
Orange Cream,"Remember those popsicles you ate as a kid? Yeah, just like those.",2024-05-24,14,16
Hojicha Milk Tea,Made with Arteao hojicha and condensed milk.,2024-05-24,14,16
Strawberry,We start with whole local strawberries and prep them by hand for this classic flavor.,2024-05-24,14,16
Pistachio Cardamom Shortbread,A cardamom ice cream base with toasted pistachio pieces and Trefoil cookies!,2024-05-24,14,16
Malted Milk Chocolate,Made with milk chocolate and malted milk powder. Delicious! Make it amazing by adding hot fudge and malt powder as a topping too!,2024-05-24,14,16
Strawberry Raspberry Sorbet (Vegan),With strawberries! And raspberries!,2024-05-24,14,16
Toasted Coconut Oreo (Vegan),A coconut milk base with Oreo pieces and toasted coconut extract.,2024-05-24,14,16
Piña Colada (Vegan),"Our vegan coconut “ice cream” base, with pineapple and Cruzan pineapple rum mixed in.",2024-05-24,14,16
