flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2022-09-02,14,28
Chocolate,Made with cocoa powder and Callebaut chocolate.,2022-09-02,14,28
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2022-09-02,14,28
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2022-09-02,14,28
Vietnamese Coffee,"Why “Vietnamese”? We use espresso beans (from Bean Traders) and sweetened condensed milk, just like you’d get in a Vietnamese restaurant (or a Thai restaurant, or Guglhupf)",2022-09-02,14,28
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2022-09-02,14,28
Toffee Malt,Malty vanilla ice cream with pieces of Heath chocolate toffee mixed in.,2022-09-02,14,28
Brown Sugar Oatmeal,"Beverly’s creation! Rolled oats, brown sugar, warm spices. Already a staff favorite.",2022-09-02,14,28
Salty Malty Cookie Gravel,A salted vanilla malt base with the addition of every type of cookie we’ve ever baked! *Not safe for those with food allergies.,2022-09-02,14,28
Mango Gochujang,"Made with mangos and gochujang, a sweet/spicy chili paste",2022-09-02,14,28
Mango Lime Sorbet (Vegan),NA,2022-09-02,14,28
Blueberry Cardamom (Vegan),"A super creamy vegan ice cream, made with both coconut milk and Italian cashew paste. Then we blend in lots of fresh NC blueberries and a touch of cardamom.",2022-09-02,14,28
Toasted Coconut (Vegan),Toasted coconut flakes mixed into a coconut-milk base.,2022-09-02,14,28
