flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-03-17,14,22
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-03-17,14,22
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2023-03-17,14,22
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-03-17,14,22
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2023-03-17,14,22
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2023-03-17,14,22
Whiskey Caramel Truffle,A whiskey ice cream base with lots of chocolate-caramel truffles mixed in.,2023-03-17,14,22
Salty Malty Cookie Gravel,A salted vanilla malt base with the addition of every type of cookie we’ve ever baked! *Not safe for those with food allergies.,2023-03-17,14,22
Raspberry Cheesecake,Ice cream made with raspberry puree and chunks of NY-style cheesecake.,2023-03-17,14,22
Milk chocolate lavender,Callebaut milk chocolate ice cream with lavender flower water.,2023-03-17,14,22
Girl Scout Mint,Thin Mint cookies are crushed and added to peppermint ice cream base.,2023-03-17,14,22
Apricot Sorbet (Vegan),NA,2023-03-17,14,22
Vegan Irish Coffee (Vegan),Our vegan coffee ice cream (made with Bean Traders espresso!) with Bushmills Irish whiskey.,2023-03-17,14,22
Vegan Chocolate (Vegan),Both semi-sweet and dark chocolate are melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet.,2023-03-17,14,22
