flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-01-10,14,26
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-01-10,14,26
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2023-01-10,14,26
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-01-10,14,26
Vietnamese Coffee,"Why “Vietnamese”? We use espresso beans (from Bean Traders) and sweetened condensed milk, just like you’d get in a Vietnamese restaurant (or a Thai restaurant, or Guglhupf)",2023-01-10,14,26
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2023-01-10,14,26
Turtle Pie,Caramel ice cream with graham crumbs and chocolate-covered pecans.,2023-01-10,14,26
Mint Chocolate chip,Peppermint ice cream with dark chocolate flakes.,2023-01-10,14,26
Lemon Curd,"We make our own lemon curd with Meyer lemons, and mix it into our ice cream base for a sweet and tangy treat.",2023-01-10,14,26
Maple Walnut,A classic. Made with maple syrup and toasted walnuts. You probably would have guessed that.,2023-01-10,14,26
Super Citrus Sorbet (Vegan),"Lemon, lime, and orange. All the citrus juices—except the ones that aren’t lemon, lime, or orange.",2023-01-10,14,26
Coffee+Blondies (Vegan),"Our vegan coconut base made with espresso and coffee extract, with pieces of chocolate chip blondies mixed in.",2023-01-10,14,26
Vegan Chocolate (Vegan),Both semi-sweet and dark chocolate are melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet.,2023-01-10,14,26
