flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-08-27,14,12
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-08-27,14,12
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2023-08-27,14,12
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-08-27,14,12
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2023-08-27,14,12
Honey Lavender,"Lavender flower water, wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence… or maybe that’s just us.",2023-08-27,14,12
Tiramisu,Mascarpone and espresso ice cream with ladyfingers mixed in.,2023-08-27,14,12
Figgy Maple Walnut,Our seasonal twist on a classic! Maple syrup and toasted walnuts combined with fresh fig puree.,2023-08-27,14,12
Banana pudding,Vanilla wafer pieces in a banana ice cream base.,2023-08-27,14,12
Today’s Sorbet (Vegan),"Sorbet flavors vary frequently, so call the shop to see what we’ve got in the case today! We promise it’s always vegan and always delicious.",2023-08-27,14,12
Almond Stracciatella (Vegan),Creamy coconut milk base with almond flavoring and dark chocolate “magic shell” mixed in.,2023-08-27,14,12
Orange Creamsicle (Vegan),Fresh orange juice and vanilla bean paste in a creamy mild coconut base.,2023-08-27,14,12
