flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-05-18,14,15
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-05-18,14,15
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2023-05-18,14,15
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-05-18,14,15
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2023-05-18,14,15
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2023-05-18,14,15
Strawberry Rosewater,"We cooked the spring’s best strawberries into jam, then added that to our ice cream base along with a hint of rosewater.",2023-05-18,14,15
Milk Chocolate Truffle,Milk chocolate ice cream with caramel truffles mixed in.,2023-05-18,14,15
Plantain Glacé,Plantain-brown sugar ice cream with coconut cookies and caramel sauce. Our collab with Immaculate Taste!,2023-05-18,14,15
Meyer Lemon Pie (Vegan),Coconut-meyer lemon “ice cream” with graham crackers mixed in.,2023-05-18,14,15
Strawberry Shortcake (Vegan),Strawberry “ice cream” (coconut and cashew milk base) with vanilla cake pieces mixed in.,2023-05-18,14,15
Vegan Chocolate (Vegan),Both semi-sweet and dark chocolate are melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet.,2023-05-18,14,15
Strawberry Lemonade Sorbet (Vegan),NA,2023-05-18,14,15
