flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-08-03,14,21
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-08-03,14,21
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-08-03,14,21
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-08-03,14,21
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2025-08-03,14,21
Maple Brown Butter,We brown Tipperary Irish butter and add Vermont maple syrup to make this flavor – pairs well with our Vietnamese coffee!,2025-08-03,14,21
Brown Sugar Milk Tea,A milk tea ice cream with housemade dark brown sugar sauce mixed in.,2025-08-03,14,21
Cherry Bourbon Cake,Our collab with Chez Moi Bakery – a sour+amarena cherry ice cream with chunks of Red Stag bourbon cake mixed in. Not for the kiddos!,2025-08-03,14,21
Banana pudding,Nilla wafer pieces in a banana ice cream base.,2025-08-03,14,21
Summer Corn with Blueberry Swirl,"Sweet local corn, with a swirl of fresh local blueberries!",2025-08-03,14,21
Blood Orange (Vegan),Our vegan pea protein base with blood orange purée and vanilla bean paste – like a fancy Creamsicle!,2025-08-03,14,21
Strawberry Watermelon Sorbet (Vegan),With strawberries. And watermelon!,2025-08-03,14,21
Vegan Chocolate (Vegan),Bittersweet chocolate is melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet. (Now soy-free!),2025-08-03,14,21
