flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-05-26,14,21
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-05-26,14,21
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-05-26,14,21
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-05-26,14,21
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2025-05-26,14,21
Milk Chocolate Nutella Crunch,Milk chocolate and Nutella ice cream with candied hazelnut crunch mixed in.,2025-05-26,14,21
Vanilla Custard,"The first thing I ever made in home ec was Bird’s Custard. Is home ec still a thing? Anyway, this is Bird’s in ice cream form. Pairs well with strawberry!",2025-05-26,14,21
White Chocolate Amaretto,White chocolate ice cream with almond flavor.,2025-05-26,14,21
Fresh Mint,"We steep fresh mint in our ice cream base and then strain it out before churning. If you miss the chocolate chips, try it in a Classic Hot Fudge or Brownie Sundae!",2025-05-26,14,21
Strawberry,We start with whole local strawberries and prep them by hand for this classic flavor.,2025-05-26,14,21
Vegan Strawberry (Vegan),A pea protein ice cream base with local berries and Madagascar vanilla.,2025-05-26,14,21
Sweet Tea Sorbet (Vegan),Made with black tea and lemon.,2025-05-26,14,21
Vegan Toasted Coconut Lime (Vegan),A coconut lime base with toasted coconut flakes mixed in.,2025-05-26,14,21
