flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2022-12-26,14,21
Chocolate,Made with cocoa powder and Callebaut chocolate.,2022-12-26,14,21
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2022-12-26,14,21
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2022-12-26,14,21
Vietnamese Coffee,"Why “Vietnamese”? We use espresso beans (from Bean Traders) and sweetened condensed milk, just like you’d get in a Vietnamese restaurant (or a Thai restaurant, or Guglhupf)",2022-12-26,14,21
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2022-12-26,14,21
Gingerbread,A spiced molasses ice cream base with lots of gingerbread cake pieces mixed in.,2022-12-26,14,21
White Chocolate Peppermint Bark,A peppermint ice cream base with lots of white chocolate peppermint bark pieces mixed in.,2022-12-26,14,21
Eggnog,"This flavor inspired by the holiday classic is made with Ran Lew Dairy nog, brandy, and nutmeg.",2022-12-26,14,21
Vegan Peppermint Stick (Vegan),A coconut and oat milk base with crushed peppermint candy.,2022-12-26,14,21
Dark chocolate orange (Vegan),"Tastes exactly like a Terry’s chocolate orange. Our version is made with real orange juice and zest, and Callebaut dark chocolate.",2022-12-26,14,21
