flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2022-08-09,14,28
Chocolate,Made with cocoa powder and Callebaut chocolate.,2022-08-09,14,28
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2022-08-09,14,28
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2022-08-09,14,28
Vietnamese Coffee,"Why “Vietnamese”? We use espresso beans (from Bean Traders) and sweetened condensed milk, just like you’d get in a Vietnamese restaurant (or a Thai restaurant, or Guglhupf)",2022-08-09,14,28
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2022-08-09,14,28
Peach,Made with fresh South Carolina peaches and a hint of brown sugar and vanilla.,2022-08-09,14,28
Honey Ricotta,"Like a very fancy Italian cheesecake, maybe?",2022-08-09,14,28
Fresh Mint,"We steep fresh mint in our ice cream base and then strain it out before churning. If you miss the chocolate chips, try it in a Classic Hot Fudge or Brownie Sundae!",2022-08-09,14,28
Beet Stracciatella,Roasted beets are pureed and added to our ice cream base along with a touch of vanilla – then we swirl in a dark chocolate flake.,2022-08-09,14,28
Summer Corn with Blueberry Swirl,"Sweet local corn, with a swirl of fresh local blueberries!",2022-08-09,14,28
Cherry Sorbet (Vegan),Made from Morello cherries,2022-08-09,14,28
Chai Oreo (Vegan),Our vegan coconut base with chai spice and Oreo pieces,2022-08-09,14,28
Vegan Chocolate (Vegan),Both semi-sweet and dark chocolate are melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet.,2022-08-09,14,28
