flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-06-06,14,15
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-06-06,14,15
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2023-06-06,14,15
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-06-06,14,15
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2023-06-06,14,15
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2023-06-06,14,15
Plantain Glacé,Plantain-brown sugar ice cream with coconut cookies and caramel sauce. Our collab with Immaculate Taste!,2023-06-06,14,15
White Chocolate Oreo,White chocolate ice cream with lots of Oreo pieces mixed in.,2023-06-06,14,15
Moroccan Rose,"Probably the wildest ice cream we’ve made; the recipe is from Old Lyme Ice Cream in Connecticut! A base of rosewater, cardamom, cinnamon, and pomegranate, with pieces of figs, apricots, and pistachios mixed in. And a touch of beet coloring to make it pretty!",2023-06-06,14,15
Rum cake,Made with Cruzan white rum and rum cake from Chez Moi Bakery!,2023-06-06,14,15
Vegan Vietnamese Coffee (Vegan),Our coconut cream ice cream base with cold-brewed espresso and sweetened condensed oat milk.,2023-06-06,14,15
Peach Bellini Sorbet (Vegan),White peach sorbet with champagne!,2023-06-06,14,15
Toasted Coconut (Vegan),Toasted coconut flakes mixed into a coconut-milk base.,2023-06-06,14,15
